ConvNext-SLiViT,,RETFound,,OCTCube,
AUC,AUCPR,AUC,AUCPR,AUC,AUCPR
0.911,0.782,0.842,0.813,0.911,0.88
0.894,0.741,0.83,0.798,0.905,0.878
0.881,0.718,0.821,0.787,0.9,0.867
0.895,0.736,0.839,0.793,0.902,0.876
0.903,0.758,0.83,0.793,0.907,0.878
0.885,0.719,0.833,0.801,0.902,0.873
0.894833333,0.742333333,0.8325,0.7975,0.9045,0.875333333
