Method,OCT_to_IR recall@1,OCT_to_IR recall@5,OCT_to_IR recall@10,OCT_to_IR mean rank,OCT_to_IR median rank,IR_to_OCT recall@1,IR_to_OCT recall@5,IR_to_OCT recall@10,IR_to_OCT mean rank,IR_to_OCT median rank
retFound 2D,0.00290697674,0.01453486,0.029069767446,172.47093023,173,0.0029069767,0.00581395347,0.023255834,183.42732558,189
retFound 3D,0.1831395348,0.39244186046,0.55523255811,23.60465116,8,0.3110465116,0.6046511627,0.75290697,11.822674418616,3
MAE-joint,0.74709302,0.9244186046,0.962209302,2.5116279,1,0.75,0.9273255,0.96220930,2.41569767,1
