Method,Lampa holdout,Proxima B
OCTCube-COEP-3mod,0.507,0.585
OCTCube-COEP-smOCT,0.489,0.546
OCTCube-3mod,0.431,0.521
OCTCube-smOCT,0.401,0.491
FAF-DenseNet,0.435,0.535
OCT-DenseNet3D,0.384,0.478
RETFound-3mod,0.395,0.473
RETFound-smOCT,0.183,0.368
