M25,Accuracy,ROC AUC,Average Precision,AUPRC,F1 Score,Balanced Acc,MCC,G-Mean,precision,recall,specificity
MAE-joint,0.646118133,0.664299124,0.527560868,0.527156839,0.406574394,0.58334268,0.197357181,0.51917073,0.565583634,0.31735314,0.84933222
retFound 3D,0.597116645,0.632582669,0.508684154,0.508203257,0.542967588,0.59778276,0.191572578,0.597773813,0.495119306,0.601053325,0.594512195
retFound 2D,0.619397117,0.630712628,0.508524368,0.508133123,0.348878924,0.557922815,0.145629322,0.469227596,0.547116737,0.256089533,0.859756098
