E78,Accuracy,ROC AUC,Average Precision,AUPRC,F1 Score,Balanced Acc,MCC,G-Mean,precision,recall,specificity
MAE-joint,0.71988651,0.714277588,0.4843178,0.483731726,0.410423453,0.606316386,0.246187317,0.544512632,0.518518519,0.339622642,0.87301013
retFound 3D,0.681712664,0.688860305,0.459456764,0.459011225,0.463478261,0.621136145,0.237803831,0.604627966,0.449031171,0.478885894,0.763386397
retFound 2D,0.702347176,0.689419087,0.436889388,0.436066829,0.29375765,0.556984584,0.151172969,0.440126359,0.460652591,0.215633423,0.898335745
