M54,Accuracy,ROC AUC,Average Precision,AUPRC,F1 Score,Balanced Acc,MCC,G-Mean,precision,recall,specificity
MAE-joint,0.691771989,0.649335424,0.437822702,0.437405224,0.189830508,0.533635233,0.12207863,0.332536306,0.516605166,0.11627907,0.950991395
retFound 3D,0.652824349,0.640858878,0.437878335,0.437335726,0.409649123,0.58001993,0.165378175,0.547268642,0.43401487,0.387873754,0.772166105
retFound 2D,0.690482332,0.632455041,0.425701874,0.424910335,0.213630406,0.537949167,0.127261555,0.356831936,0.50621118,0.13538206,0.940516274
