Method,Lampa holdout,Proxima B,GAllego,Mahalo,Avg
OCTCube-COEP-3mod,0.474,0.578,0.375,0.691,0.53475
OCTCube-COEP-smOCT,0.462,0.549,0.348,0.614,0.49325
OCTCube-3mod,0.44,0.531,0.345,0.637,0.48825
OCTCube-smOCT,0.401,0.491,0.316,0.6,0.452
FAF-DenseNet,0.435,0.535,0.334,0.633,0.48425
OCT-DenseNet3D,0.384,0.478,0.281,0.475,0.4045
RETFound-3mod,0.425,0.5,0.355,0.653,0.48325
RETFound-smOCT,0.336,0.486,0.289,0.495,0.4015
