Method,Lampa holdout,Proxima B,GAllego,Mahalo,Avg
OCTCube-COEP-3mod,0.007,0.007,0.008,0.011,0.00825
OCTCube-COEP-smOCT,0.014,0.025,0.015,0.027,0.02025
OCTCube-3mod,0.038,0.025,0.031,0.029,0.03075
OCTCube-smOCT,0.039,0.026,0.033,0.034,0.033
FAF-DenseNet,0.009,0.02,0.01,0.023,0.0155
OCT-DenseNet3D,0.016,0.023,0.014,0.024,0.01925
RETFound-3mod,0.038,0.025,0.031,0.043,0.03425
RETFound-smOCT,0.039,0.026,0.041,0.037,0.03575
