Method,Lampa holdout,Proxima B,GAllego,Mahalo,Avg
OCTCube-COEP-3mod,0.374,0.625,0.524,0.249,0.443
OCTCube-COEP-smOCT,0.369,0.575,0.527,0.175,0.4115
OCTCube-3mod,0.347,0.595,0.478,0.235,0.41375
OCTCube-smOCT,0.292,0.57,0.505,0.152,0.37975
FAF-DenseNet,0.21,0.362,0.271,0.06,0.22575
OCT-DenseNet3D,0.252,0.495,0.439,0.178,0.341
RETFound-3mod,0.209,0.33,0.284,0.107,0.2325
RETFound-smOCT,0.14,0.33,0.2,0.016,0.1715
